사용일,구분,역명,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00
평일,내선순환,강남,32,0,0,0,0,27,22,41,64,44,42,47,57,69,69,87,88,111,142,104,80,116,117,51,32,0
평일,외선순환,강남,22,0,0,0,0,69,41,77,121,89,57,56,58,64,55,58,60,54,76,67,53,66,72,47,22,0
토요일,외선순환,강남,0,0,0,0,0,49,34,30,50,59,72,73,74,92,82,81,72,59,49,47,40,47,55,61,0,0
일요일,내선순환,강남,0,0,0,0,0,28,17,15,22,34,34,40,47,55,60,65,77,68,71,58,58,62,61,45,0,0
일요일,외선순환,강남,0,0,0,0,0,28,18,20,39,49,49,62,60,65,59,53,47,52,47,39,34,34,31,31,0,0
토요일,내선순환,강남,0,0,0,0,0,42,18,19,25,32,42,57,71,80,81,82,88,96,89,63,69,86,91,89,0,0
평일,내선순환,강변,20,0,0,0,0,19,22,39,81,51,31,35,38,40,35,43,41,37,45,36,27,34,36,24,20,0
평일,외선순환,강변,12,0,0,0,0,16,18,42,48,30,25,33,34,34,34,38,40,46,59,51,40,44,52,27,12,0
토요일,내선순환,강변,0,0,0,0,0,12,18,16,25,40,41,51,53,51,46,47,43,43,41,30,30,33,36,59,0,0
토요일,외선순환,강변,0,0,0,0,0,22,13,15,30,23,31,36,48,55,54,57,55,51,49,43,38,47,40,31,0,0
일요일,내선순환,강변,0,0,0,0,0,10,11,12,25,34,31,39,38,39,37,39,34,40,44,29,27,25,29,31,0,0
일요일,외선순환,강변,0,0,0,0,0,12,8,11,25,22,23,33,42,41,40,43,44,41,38,37,36,36,34,24,0,0
평일,내선순환,건대입구,26,0,0,0,0,11,22,31,66,42,30,33,39,42,42,45,45,41,51,42,34,44,45,30,26,0
평일,외선순환,건대입구,8,0,0,0,0,29,24,56,69,36,26,34,36,34,33,36,36,43,46,37,31,33,40,23,8,0
토요일,내선순환,건대입구,0,0,0,0,0,10,21,19,26,39,40,48,54,52,48,52,50,48,48,35,36,40,44,86,0,0
토요일,외선순환,건대입구,0,0,0,0,0,35,17,18,38,26,33,39,54,52,51,59,49,45,39,34,31,36,34,29,0,0
일요일,내선순환,건대입구,0,0,0,0,0,13,13,14,24,32,27,37,38,41,42,49,43,54,58,38,33,27,31,32,0,0
일요일,외선순환,건대입구,0,0,0,0,0,22,11,12,30,25,25,36,48,42,41,42,39,36,32,30,30,30,28,18,0,0
평일,내선순환,교대,35,0,0,0,0,27,21,41,65,40,44,47,54,68,68,88,92,112,155,114,89,125,136,63,35,0
평일,외선순환,교대,21,0,0,0,0,82,50,101,148,110,71,64,65,71,59,61,59,56,75,66,48,50,51,39,21,0
토요일,내선순환,교대,0,0,0,0,0,41,19,18,26,33,44,56,73,82,83,82,89,98,90,67,74,96,101,97,0,0
토요일,외선순환,교대,0,0,0,0,0,51,37,33,60,79,86,83,85,104,91,85,78,66,59,54,43,44,48,56,0,0
일요일,내선순환,교대,0,0,0,0,0,27,18,16,23,36,38,43,48,56,62,65,76,70,76,61,61,71,70,54,0,0
일요일,외선순환,교대,0,0,0,0,0,27,20,23,45,59,56,72,69,75,65,59,53,58,50,42,33,29,27,29,0,0
평일,내선순환,구로디지털단지,17,0,0,0,0,72,39,67,91,49,35,38,52,57,57,62,72,90,107,80,56,66,83,46,17,0
평일,외선순환,구로디지털단지,36,0,0,0,0,48,41,81,104,63,58,50,48,54,45,48,47,51,84,74,56,72,64,58,36,0
토요일,내선순환,구로디지털단지,0,0,0,0,0,56,27,24,40,38,46,56,66,79,72,72,77,75,73,51,47,62,65,54,0,0
토요일,외선순환,구로디지털단지,0,0,0,0,0,39,33,31,49,68,58,69,65,70,73,64,57,64,57,50,50,50,84,87,0,0
일요일,내선순환,구로디지털단지,0,0,0,0,0,37,23,17,29,37,45,44,54,61,63,61,67,63,64,49,42,43,44,28,0,0
