김포공항,3
한양대,2
신정네거리,6
충무로,6
장암,2
역삼,8
굽은다리,5
면목,8
용마산,5
까치울,4
한강진,4
이태원,5
신설동,9
도곡,14
서대문,7
내방,4
버티고개,4
서울대입구,12
광흥창,5
노원,14
수진,2
한성대입구,3
개화산,2
강변,5
용두,7
청구,4
도림천,2
독립문,5
오목교,11
새절,7
상봉,4
홍대입구,9
광나루,5
일원,4
복정,10
종각,14
석촌,5
동대문,5
혜화,6
아현,2
동대문역사문화공원,14
방배,8
문정,4
대림,9
부천시청,6
건대입구,10
올림픽공원,5
중곡,4
잠실,13
신흥,4
암사,2
남부터미널,6
역촌,8
신천,8
부천종합운동장,4
태릉입구,8
경찰병원,6
모란,5
부평구청,5
쌍문,5
군자,6
구의,2
마포구청,8
증산,4
장한평,7
서초,3
잠실나루,2
대청,1
석계,11
먹골,10
우장산,7
삼성,12
이촌,2
을지로3가,7
굴포천,4
상계,7
강남구청,8
양평,2
상도,4
삼산체육관,3
종합운동장,8
회현,8
안국,8
구파발,9
아차산,3
가산디지털단지,11
발산,10
화곡,7
청량리,13
성신여대입구,6
불광,15
영등포구청,7
마들,7
공릉,6
왕십리,10
신림,8
압구정,5
신대방,9
상일동,6
신촌,11
남성,4
양재,10
까치산,2
여의나루,4
제기동,4
구산,6
공덕,11
숭실대입구,3
하계,11
어린이대공원,6
수유,12
중화,10
길음,11
약수,7
안암,3
합정,14
월곡,5
경복궁,6
고려대,4
화랑대,5
마포,6
여의도,3
선릉,9
사당,6
명일,6
단대오거리,6
독바위,4
당고개,5
잠원,5
월드컵경기장,3
을지로4가,7
성수,1
구로디지털단지,7
삼각지,5
신도림,6
신정,2
동묘앞,11
녹번,6
신사,9
서울,24
춘의,2
고속터미널,7
양천구청,3
마장,5
녹사평,3
온수,6
가락시장,10
논현,9
마천,3
숙대입구,12
개롱,6
오금,4
방이,6
상왕십리,4
신중동,3
수서,7
교대,6
미아,3
뚝섬유원지,2
천호,6
고덕,4
영등포시장,2
몽촌토성,3
돌곶이,8
망원,2
무악재,2
남태령,2
송정,7
신금호,4
신길,3
시청,9
산성,4
미아사거리,7
신대방삼거리,5
명동,3
상동,10
답십리,6
대치,8
상월곡,4
봉화산,8
이대,7
강동구청,9
중계,9
문래,6
동대입구,5
반포,3
행당,2
창동,7
신답,5
애오개,2
봉천,9
천왕,3
당산,11
길동,2
대흥,4
상수,4
금호,2
용답,2
마곡,4
보라매,7
낙성대,3
옥수,1
광화문,13
방화,3
신용산,6
송파,4
장지,5
응암,7
동작,7
디지털미디어시티,11
연신내,9
청담,11
종로3가,7
홍제,6
남한산성입구,4
사가정,9
보문,5
거여,8
종로5가,11
목동,9
신당,8
충정로,5
신풍,10
학여울,3
학동,6
장승배기,7
창신,2
뚝섬,8
도봉산,2
남구로,7
을지로입구,8
