사용일,호선,구분,역명,a
평일,2호선,내선,강남,27
평일,2호선,외선,강남,69
평일,2호선,내선,강남,22
평일,2호선,외선,강남,41
평일,2호선,내선,강남,41
평일,2호선,외선,강남,77
평일,2호선,내선,강남,64
평일,2호선,외선,강남,121
평일,2호선,내선,강남,44
평일,2호선,외선,강남,89
평일,2호선,내선,강남,42
평일,2호선,외선,강남,57
평일,2호선,내선,강남,47
평일,2호선,외선,강남,56
평일,2호선,내선,강남,57
평일,2호선,외선,강남,58
평일,2호선,내선,강남,69
평일,2호선,외선,강남,64
평일,2호선,내선,강남,69
평일,2호선,외선,강남,55
평일,2호선,내선,강남,87
평일,2호선,외선,강남,58
평일,2호선,내선,강남,88
평일,2호선,외선,강남,60
평일,2호선,내선,강남,111
평일,2호선,외선,강남,54
평일,2호선,내선,강남,142
평일,2호선,외선,강남,76
평일,2호선,내선,강남,104
평일,2호선,외선,강남,67
평일,2호선,내선,강남,80
평일,2호선,외선,강남,53
평일,2호선,내선,강남,116
평일,2호선,외선,강남,66
평일,2호선,내선,강남,117
평일,2호선,외선,강남,72
평일,2호선,내선,강남,51
평일,2호선,외선,강남,47
평일,2호선,내선,강남,32
평일,2호선,외선,강남,22
토요일,2호선,내선,강남,42
토요일,2호선,외선,강남,49
토요일,2호선,내선,강남,18
토요일,2호선,외선,강남,34
토요일,2호선,내선,강남,19
토요일,2호선,외선,강남,30
토요일,2호선,내선,강남,25
토요일,2호선,외선,강남,50
토요일,2호선,내선,강남,32
토요일,2호선,외선,강남,59
토요일,2호선,내선,강남,42
토요일,2호선,외선,강남,72
토요일,2호선,내선,강남,57
토요일,2호선,외선,강남,73
토요일,2호선,내선,강남,71
토요일,2호선,외선,강남,74
토요일,2호선,내선,강남,80
토요일,2호선,외선,강남,92
토요일,2호선,내선,강남,81
토요일,2호선,외선,강남,82
토요일,2호선,내선,강남,82
토요일,2호선,외선,강남,81
토요일,2호선,내선,강남,88
토요일,2호선,외선,강남,72
토요일,2호선,내선,강남,96
토요일,2호선,외선,강남,59
토요일,2호선,내선,강남,89
토요일,2호선,외선,강남,49
토요일,2호선,내선,강남,63
토요일,2호선,외선,강남,47
토요일,2호선,내선,강남,69
토요일,2호선,외선,강남,40
토요일,2호선,내선,강남,86
토요일,2호선,외선,강남,47
토요일,2호선,내선,강남,91
토요일,2호선,외선,강남,55
토요일,2호선,내선,강남,89
토요일,2호선,외선,강남,61
토요일,2호선,내선,강남,0
토요일,2호선,외선,강남,0
일요일,2호선,내선,강남,28
일요일,2호선,외선,강남,28
일요일,2호선,내선,강남,17
일요일,2호선,외선,강남,18
일요일,2호선,내선,강남,15
일요일,2호선,외선,강남,20
일요일,2호선,내선,강남,22
일요일,2호선,외선,강남,39
일요일,2호선,내선,강남,34
일요일,2호선,외선,강남,49
일요일,2호선,내선,강남,34
일요일,2호선,외선,강남,49
일요일,2호선,내선,강남,40
일요일,2호선,외선,강남,62
일요일,2호선,내선,강남,47
일요일,2호선,외선,강남,60
일요일,2호선,내선,강남,55
일요일,2호선,외선,강남,65
일요일,2호선,내선,강남,60
일요일,2호선,외선,강남,59
일요일,2호선,내선,강남,65
일요일,2호선,외선,강남,53
일요일,2호선,내선,강남,77
일요일,2호선,외선,강남,47
일요일,2호선,내선,강남,68
일요일,2호선,외선,강남,52
일요일,2호선,내선,강남,71
일요일,2호선,외선,강남,47
일요일,2호선,내선,강남,58
일요일,2호선,외선,강남,39
일요일,2호선,내선,강남,58
일요일,2호선,외선,강남,34
일요일,2호선,내선,강남,62
일요일,2호선,외선,강남,34
일요일,2호선,내선,강남,61
일요일,2호선,외선,강남,31
일요일,2호선,내선,강남,45
일요일,2호선,외선,강남,31
일요일,2호선,내선,강남,0
일요일,2호선,외선,강남,0
평일,2호선,내선,강변,19
평일,2호선,외선,강변,16
평일,2호선,내선,강변,22
평일,2호선,외선,강변,18
평일,2호선,내선,강변,39
평일,2호선,외선,강변,42
평일,2호선,내선,강변,81
평일,2호선,외선,강변,48
