마천,7
공릉,14
종합운동장,38
서대문,43
당산,42
건대입구,50
상동,19
양평,9
수진,15
역삼,42
학동,33
단대오거리,22
삼성,67
명동,37
구의,25
신풍,20
애오개,24
온수,26
상왕십리,20
새절,18
노원,39
고려대,22
잠실,48
양재,63
숙대입구,41
남구로,16
명일,22
석촌,23
굽은다리,11
신당,50
신림,55
망원,19
성수,61
수유,33
천왕,9
총신대입구(이수),79
까치울,6
신정네거리,35
송정,18
군자,17
까치산,8
아현,27
광명사거리,28
매봉,16
을지로입구,62
개화산,9
충정로,44
면목,11
선릉,74
사가정,19
녹사평,17
녹번,19
문정,10
제기동,46
회현,24
남한산성입구,21
광나루,28
철산,29
버티고개,8
강동,20
모란,33
신정,19
신대방,22
학여울,9
경복궁,52
신용산,35
답십리,20
논현,27
상월곡,17
우장산,20
신촌,33
화랑대,21
발산,37
남부터미널,23
응암,13
길동,13
강동구청,26
영등포시장,17
동작,19
안국,64
고속터미널,41
을지로4가,26
한성대입구,28
서울,79
가락시장,53
강변,33
행당,12
서울대입구,69
부천종합운동장,9
천호,29
오목교,31
올림픽공원,18
신답,8
신대방삼거리,18
방배,30
합정,33
석계,16
신도림,56
공덕,46
장승배기,30
불광,34
대림,48
쌍문,24
김포공항,9
낙성대,60
동대입구,30
신설동,75
마포구청,32
독립문,34
옥수,23
남태령,5
도봉산,15
마곡,2
미아,38
지축,4
종각,35
고덕,21
복정,8
한강진,11
구산,16
잠실새내,62
신길,9
동대문역사문화공원,37
월드컵경기장,25
홍제,31
부천시청,19
이태원,13
중계,32
춘의,15
송파,23
대치,25
삼각지,31
마포,20
사당,79
개롱,23
길음,39
방이,18
보라매,30
무악재,22
교대,54
내방,19
도림천,12
먹골,20
청담,26
한양대,10
장한평,20
반포,11
몽촌토성,17
양천구청,36
아차산,12
태릉입구,42
경찰병원,9
신중동,20
둔촌동,20
여의도,12
청량리,28
장암,6
미아사거리,50
봉화산,16
중곡,19
당고개,13
안암,12
굴포천,16
여의나루,18
혜화,34
하계,22
구파발,21
대청,41
잠원,25
신흥,15
성신여대입구,30
보문,29
서초,49
뚝섬유원지,21
화곡,34
신사,33
청구,13
숭실대입구,9
영등포구청,40
디지털미디어시티,27
역촌,15
압구정,22
동묘앞,61
가산디지털단지,22
약수,31
암사,18
수락산,35
상계,43
목동,32
용마산,13
문래,49
광화문,46
돌곶이,20
방화,37
이대,21
부평구청,51
도곡,27
창신,13
상도,22
창동,27
수서,29
시청,147
을지로3가,59
용두,39
신금호,15
남성,9
잠실나루,37
장지,10
일원,30
증산,18
상봉,35
왕십리,48
충무로,43
이촌,26
홍대입구,30
독바위,5
연신내,31
대흥,33
동대문,121
거여,19
금호,20
뚝섬,54
효창공원앞,29
중화,21
어린이대공원,29
광흥창,26
오금,18
구로디지털단지,41
마장,20
종로3가,47
월곡,19
강남구청,29
마들,25
강남,82
상수,17
삼산체육관,16
상일동,19
용답,13
봉천,41
종로5가,57
산성,14
,
​,
