name,building,transit route
가락시장,53,2
가산디지털단지,22,2
강남,82,2
강남구청,29,2
강동,20,1
강동구청,26,1
강변,33,1
개롱,23,1
개화산,9,1
거여,19,1
건대입구,50,2
경복궁,52,1
경찰병원,9,1
고덕,21,1
고려대,22,1
고속터미널,41,3
공덕,46,4
공릉,14,1
광나루,28,1
광명사거리,28,1
광화문,46,1
광흥창,26,1
교대,54,2
구로디지털단지,41,1
구산,16,1
구의,25,1
구파발,21,1
군자,17,2
굴포천,16,1
굽은다리,11,1
금호,20,1
길동,13,1
길음,39,1
김포공항,9,3
까치산,8,2
까치울,6,1
낙성대,60,1
남구로,16,1
남부터미널,23,1
남성,9,1
남태령,5,1
남한산성입구,21,1
내방,19,1
노원,39,2
녹번,19,1
녹사평,17,1
논현,27,1
단대오거리,22,1
답십리,20,1
당고개,13,1
당산,42,2
대림,48,2
대청,41,1
대치,25,1
대흥,33,1
도곡,27,2
도림천,12,1
도봉산,15,2
독립문,34,1
독바위,5,1
돌곶이,20,1
동대문,121,2
동대문역사문화공원,37,3
동대입구,30,1
동묘앞,61,2
동작,19,2
둔촌동,20,1
디지털미디어시티,27,3
뚝섬,54,1
뚝섬유원지,21,1
마곡,2,1
마들,25,1
마장,20,1
마천,7,1
마포,20,1
마포구청,32,1
망원,19,1
매봉,16,1
먹골,20,1
면목,11,1
명동,37,1
명일,22,1
모란,33,2
목동,32,1
몽촌토성,17,1
무악재,22,1
문래,49,1
문정,10,1
미아,38,1
미아사거리,50,1
반포,11,1
발산,37,1
방배,30,1
방이,18,1
방화,37,1
버티고개,8,1
보라매,30,1
보문,29,1
복정,8,2
봉천,41,1
봉화산,16,1
부천시청,19,1
부천종합운동장,9,1
부평구청,51,2
불광,34,2
사가정,19,1
사당,79,2
산성,14,1
삼각지,31,2
삼산체육관,16,1
삼성,67,1
상계,43,1
상도,22,1
상동,19,1
상봉,35,3
상수,17,1
상왕십리,20,1
상월곡,17,1
상일동,19,1
새절,18,1
서대문,43,1
서울,79,4
서울대입구,69,1
서초,49,1
석계,16,2
석촌,23,1
선릉,74,2
성수,61,1
성신여대입구,30,1
송정,18,1
송파,23,1
수락산,35,1
수서,29,2
수유,33,1
수진,15,1
숙대입구,41,1
숭실대입구,9,1
시청,147,2
신금호,15,1
신길,9,2
신답,8,1
신당,50,2
신대방,22,1
신대방삼거리,18,1
신도림,56,2
신림,55,1
신사,33,1
신설동,75,2
신용산,35,1
신정,19,1
신정네거리,35,1
신중동,20,1
신촌,33,1
신풍,20,1
신흥,15,1
쌍문,24,1
아차산,12,1
아현,27,1
안국,64,1
안암,12,1
암사,18,1
압구정,22,1
애오개,24,1
약수,31,2
양재,63,2
양천구청,36,1
양평,9,1
어린이대공원,29,1
여의나루,18,1
여의도,12,2
역삼,42,1
역촌,15,1
연신내,31,2
영등포구청,40,2
영등포시장,17,1
오금,18,2
오목교,31,1
옥수,23,2
온수,26,2
올림픽공원,18,1
왕십리,48,4
용답,13,1
용두,39,1
용마산,13,1
우장산,20,1
월곡,19,1
월드컵경기장,25,1
을지로3가,59,2
을지로4가,26,2
을지로입구,62,1
응암,13,1
이대,21,1
이촌,26,2
이태원,13,1
일원,30,1
잠실,48,2
잠실나루,37,1
잠실새내,62,1
잠원,25,1
장승배기,30,1
장암,6,1
장지,10,1
장한평,20,1
제기동,46,1
종각,35,1
종로3가,47,3
종로5가,57,1
종합운동장,38,2
중계,32,1
중곡,19,1
중화,21,1
증산,18,1
지축,4,1
창동,27,2
창신,13,1
천왕,9,1
천호,29,2
철산,29,1
청구,13,2
청담,26,1
청량리,28,2
총신대입구(이수),79,2
춘의,15,1
충무로,43,2
충정로,44,2
태릉입구,42,2
하계,22,1
학동,33,1
학여울,9,1
한강진,11,1
한성대입구,28,1
한양대,10,1
합정,33,2
행당,12,1
혜화,34,1
홍대입구,30,3
홍제,31,1
화곡,34,1
화랑대,21,1
회현,24,1
효창공원앞,29,2
