가락시장,1
가산디지털단지,1
강남,1
강남구청,29
강동,20
강동구청,1
강변,33
개롱,23
개화산,9
거여,19
건대입구,50
경복궁,52
경찰병원,9
고덕,21
고려대,22
고속터미널,41
공덕,46
공릉,14
광나루,28
광명사거리,28
광화문,46
광흥창,26
교대,54
구로디지털단지,41
구산,16
구의,25
구파발,21
군자,17
굴포천,16
굽은다리,11
금호,20
길동,13
길음,39
김포공항,9
까치산,8
까치울,6
낙성대,60
남구로,16
남부터미널,23
남성,9
남태령,5
남한산성입구,21
내방,19
노원,39
녹번,19
녹사평,17
논현,27
단대오거리,22
답십리,20
당고개,13
당산,42
대림,48
대청,41
대치,25
대흥,33
도곡,27
도림천,12
도봉산,15
독립문,34
독바위,5
돌곶이,20
동대문,121
동대문역사문화공원,37
동대입구,30
동묘앞,61
동작,19
둔촌동,20
디지털미디어시티,27
뚝섬,54
뚝섬유원지,21
마곡,2
마들,25
마장,20
마천,7
마포,20
마포구청,32
망원,19
매봉,16
먹골,20
면목,11
명동,37
명일,22
모란,33
목동,32
몽촌토성,17
무악재,22
문래,49
문정,10
미아,38
미아사거리,50
반포,11
발산,37
방배,30
방이,18
방화,37
버티고개,8
보라매,30
보문,29
복정,8
봉천,41
봉화산,16
부천시청,19
부천종합운동장,9
부평구청,51
불광,34
사가정,19
사당,79
산성,14
삼각지,31
삼산체육관,16
삼성,67
상계,43
상도,22
상동,19
상봉,35
상수,17
상왕십리,20
상월곡,17
상일동,19
새절,18
서대문,62
서울대입구,69
서울,79
서초,49
석계,16
석촌,23
선릉,74
성수,61
성신여대입구,30
송정,18
송파,23
수락산,35
수서,29
수유,33
수진,15
숙대입구,41
숭실대입구,9
시청,147
신금호,15
신길,9
신답,8
신당,50
신대방,22
신대방삼거리,18
신도림,56
신림,55
신사,33
신설동,75
신용산,35
신정,19
신정네거리,35
신중동,20
신촌,33
신풍,20
신흥,15
쌍문,24
아차산,12
아현,27
안국,64
안암,12
암사,18
압구정,22
애오개,24
약수,31
양재,63
양천구청,36
양평,9
어린이대공원,29
여의나루,18
여의도,12
역삼,42
역촌,15
연신내,31
영등포구청,40
영등포시장,17
오금,18
오목교,31
옥수,23
온수,26
올림픽공원,18
왕십리,48
용답,13
용두,39
용마산,13
우장산,20
월곡,19
월드컵경기장,25
을지로3가,59
을지로4가,26
을지로입구,62
응암,13
이대,21
총신대입구(이수),79
이촌,26
이태원,13
일원,30
잠실,48
잠실나루,37
잠실새내,1
잠원,25
장승배기,30
장암,6
장지,10
장한평,20
제기동,46
종각,35
종로3가,47
종로5가,57
종합운동장,38
중계,32
중곡,19
중화,21
증산,18
지축,4
창동,27
창신,13
천왕,9
천호,29
철산,29
청구,13
청담,26
청량리,28
춘의,15
충무로,43
충정로,44
태릉입구,42
하계,22
학동,33
학여울,9
한강진,11
한성대입구,28
한양대,10
합정,33
행당,12
혜화,34
홍대입구,30
홍제,31
화곡,34
화랑대,21
회현,24
효창공원앞,29
